지역이름,현재온도,습도,풍향,풍속
강릉,22.9,27,동남동,1.8
강진군,20.4,26,서남서,1.5
강화,17.5,50,남서,2.1
거제,18.8,39,북북서,1.6
거창,18.7,21,서북서,0.9
경주시,20.5,27,서남서,3.3
고산,19.1,52,북북서,5.3
고창,19.3,29,북,3.3
고창군,18.9,35,북서,3.1
고흥,18.8,36,북서,3.1
광양시,20.1,22,동북동,2.0
광주,19.3,22,북동,0.9
구미,17.6,30,정온,0.3
군산,18.4,44,동남동,2.1
금산,17.3,34,서북서,1.2
김해시,19.8,29,북서,1.9
남원,17.4,32,남동,1.6
남해,18.3,35,북,1.4
대관령,18.0,19,서남서,2.7
대구,18.6,36,서남서,2.1
대전,17.5,34,북동,2.1
동두천,17.7,43,서남서,1.5
동해,18.9,41,남남동,2.0
목포,17.0,34,북북서,3.3
문경,17.4,47,동남동,2.0
밀양,19.6,21,남서,1.0
백령도,17.4,43,남,4.3
보령,19.3,38,북서,0.6
보성군,19.8,33,남동,2.1
보은,17.9,32,북서,1.9
봉화,16.9,39,남동,1.4
부산,21.2,40,남,3.8
부안,18.9,38,북북동,2.0
부여,18.3,43,동북동,1.2
북강릉,19.6,29,동남동,1.6
북창원,18.7,30,북서,1.5
북춘천,14.9,51,남남동,1.2
산청,19.2,23,서남서,0.8
상주,18.6,38,동남동,1.4
서귀포,20.4,54,남,1.7
서산,18.2,41,북서,2.1
서울,18.5,42,남,2.6
성산,19.9,56,동북동,2.8
세종,16.8,37,북,1.0
속초,19.5,44,남동,4.6
수원,17.9,37,서북서,1.6
순창군,18.6,23,남동,2.3
순천,18.9,21,남남서,2.4
안동,16.5,36,서남서,1.8
양산시,20.5,34,남서,1.8
양평,16.3,49,서,0.9
여수,18.1,34,동북동,3.1
영광군,19.2,25,서북서,2.6
영덕,19.9,26,남동,0.5
영월,16.4,33,북북서,0.6
영주,17.7,40,남동,1.5
영천,18.6,29,서남서,1.5
완도,19.2,28,동,1.0
울릉도,19.7,54,남서,3.0
울산,19.7,24,남서,2.0
울진,17.7,42,남동,2.7
원주,16.5,36,동북동,0.8
의령군,20.6,25,남남동,1.6
의성,17.5,32,남서,1.0
이천,16.2,47,북서,0.9
인제,17.0,44,남남서,3.6
인천,16.7,45,서,2.7
임실,19.4,23,동남동,1.1
장수,18.1,27,북북서,1.8
장흥,20.0,30,북북동,1.1
전주,19.0,29,북북동,1.7
정선군,17.1,31,북,1.1
정읍,18.0,37,북북동,3.0
제주,19.9,53,북동,5.6
제천,16.2,38,서남서,1.6
진도군,18.2,39,북서,3.1
진주,19.0,26,동,1.8
창원,18.3,21,북동,2.2
천안,17.0,45,남,1.9
철원,16.8,51,북,0.8
청송군,18.3,30,북북서,2.2
청주,17.4,31,북동,1.2
추풍령,17.6,34,서남서,3.1
춘천,14.6,48,동남동,0.6
충주,15.8,48,서남서,1.4
태백,19.3,13,동북동,1.3
통영,20.1,43,동,2.1
파주,16.5,44,서북서,0.9
포항,19.7,27,남서,3.0
함양군,19.6,18,북서,1.1
합천,18.6,27,동,1.2
해남,20.4,27,남서,0.6
홍성,17.8,43,북동,2.1
홍천,16.4,36,서북서,1.1
흑산도,16.6,54,북북동,4.8
